iter	Passed	Remaining
398	472770	119673
399	474257	118564
400	475628	117424
401	476945	116270
402	478172	115093
403	479194	113868
404	480531	112717
405	481344	111444
406	482260	110197
407	483136	108942
408	484078	107704
409	485233	106514
410	486979	105452
411	488605	104362
412	490085	103238
413	491328	102063
414	492766	100928
415	494081	99766
416	495475	98619
417	496048	97310
418	496886	96056
419	497778	94814
420	498643	93569
421	499650	92352
422	501055	91208
423	502560	90081
424	504032	88946
425	505514	87812
426	506943	86667
427	508316	85511
428	509702	84356
429	511046	83193
430	512135	81989
431	513036	80755
432	514289	79578
433	514980	78315
434	515982	77100
435	517456	75956
436	518824	74796
437	520179	73632
438	521475	72460
439	522872	71300
440	523921	70093
441	524546	68831
442	525398	67602
443	526370	66389
444	527672	65217
445	529093	64060
446	530513	62902
447	531911	61739
448	533197	60563
449	534628	59403
450	535471	58177
451	536420	56965
452	537810	55799
453	539288	54641
454	540913	53496
455	542552	52351
456	543678	51155
457	545124	49989
458	546470	48813
459	547818	47636
460	548595	46410
461	549507	45197
462	550377	43982
463	551643	42799
464	552953	41620
465	554347	40445
466	555359	39243
467	556930	38080
468	558185	36894
469	559776	35730
470	561223	34555
471	562649	33377
472	563856	32186
473	564775	30979
474	565737	29775
475	566668	28571
476	567614	27369
477	569024	26189
478	570691	25019
479	572248	23843
480	573692	22661
481	575080	21476
482	576270	20282
483	577291	19084
484	578106	17879
485	579184	16684
486	580581	15498
487	582098	14313
488	583499	13125
489	584703	11932
490	586127	10743
491	587206	9548
492	588630	8357
493	589983	7165
494	590788	5967
495	591670	4771
496	592674	3577
497	593956	2385
498	595131	1192
499	596476	0
