iter	TotalF1:average=Macro	MultiClass
418	0.650476877	0.8903641811
419	0.6504932618	0.8900219484
420	0.6504826165	0.8896979946
421	0.650483306	0.889415897
422	0.6505404035	0.88922171
423	0.650706259	0.8891118111
424	0.651003584	0.8889587796
425	0.6516294224	0.8885478114
426	0.6514057166	0.8882096329
427	0.6519256035	0.887847788
428	0.6517447077	0.8877241947
429	0.652283914	0.8874551658
430	0.6523425284	0.8871494919
431	0.6529493608	0.8864759202
432	0.6532168073	0.8862410597
433	0.6532009349	0.8861348618
434	0.6533345117	0.8859382633
435	0.6532912061	0.8857849693
436	0.6533494827	0.8856053064
437	0.6528857039	0.8852609275
438	0.6532975557	0.8849645091
439	0.6533707974	0.8846489561
440	0.6537274539	0.8845452203
441	0.6539206536	0.8841609764
442	0.6543633782	0.8835908354
443	0.6540533584	0.8834553739
444	0.6545027584	0.8831483472
445	0.6550366068	0.8827848509
446	0.6551578983	0.882558361
447	0.6552171075	0.8821258757
448	0.6556308859	0.8819157937
449	0.6555719122	0.8817304577
450	0.6554812928	0.8814691435
451	0.6559451383	0.8811983917
452	0.6563288689	0.880887262
453	0.6567197623	0.8805179309
454	0.6566012654	0.8803201732
455	0.6565718697	0.880192491
456	0.656539145	0.88013887
457	0.6566040492	0.8799463213
458	0.6567711415	0.8795374173
459	0.6566232051	0.8793347706
460	0.6565631572	0.8791827655
461	0.656631176	0.8790193317
462	0.6567750164	0.8788284389
463	0.6569968469	0.8786435966
464	0.6573038803	0.8780239819
465	0.6571828424	0.8776220223
466	0.6571974427	0.8775828698
467	0.6573204513	0.8774086161
468	0.6572078465	0.8773510971
469	0.6573457427	0.8770351869
470	0.657083914	0.8767402222
471	0.6573954213	0.8765429057
472	0.6574392618	0.8764874686
473	0.657596947	0.8762297614
474	0.6578227818	0.8760347676
475	0.6581594894	0.8758450248
476	0.6580415578	0.8756763989
477	0.6582183675	0.8753638023
478	0.6584836813	0.875194633
479	0.6585657663	0.8750123124
480	0.6586492747	0.8747801049
481	0.6585390097	0.8745525767
482	0.6579455316	0.8742175902
483	0.6582457744	0.8740088489
484	0.6583525497	0.8738215818
485	0.6584508906	0.8737661943
486	0.6585142788	0.8734136177
487	0.6585778107	0.8731437657
488	0.6583862091	0.8728804371
489	0.658638793	0.8728339334
490	0.6587768743	0.8726727958
491	0.6589812687	0.8725714534
492	0.6594944106	0.8721575479
493	0.6596321122	0.872081053
494	0.6597357111	0.8719215926
495	0.6601728732	0.8716043019
496	0.6602399539	0.8713833593
497	0.6604273196	0.8709274742
498	0.6604135401	0.8709001772
499	0.6604480591	0.870812275
